filepath,label,class
"total_belanja/crop_00042.jpg","TOTAL: 107.550","total_belanja"
"line_item/crop_00021.jpg","SUKSES ISI 2 A.KCP 129 1 3.350 3.350","line_item"
"line_item/crop_00040.jpg","SEDAAP MI AY BW TL23 1 2300 2.300","line_item"
"nama_toko/crop_00043.jpg","INDOMARET","nama_toko"
"total_belanja/crop_01412.jpg","Total Item 2 2.900","total_belanja"
"line_item/crop_00041.jpg","RINSO DET.MTC FRNT 3 1 93000 93.000","line_item"
"tanggal_waktu/crop_00044.jpg","07.06.18-21:21","tanggal_waktu"
"line_item/crop_00048.jpg","INDOMI AYAM BWNG 69G 1 2300 2.300","line_item"
"line_item/crop_00047.jpg","INDOMI KARI AYAM 72G 2 2300 4.600","line_item"
"line_item/crop_00049.jpg","SUKSES ISI2 A.KCP129 1 3350 3.350","line_item"
"line_item/crop_00045.jpg","INDOMI GORENG SPC 80 2 2300 4.600","line_item"
"line_item/crop_00046.jpg","SEDAAP MIE SOTO 75GR 1 2300 2.300","line_item"
"line_item/crop_00051.jpg","SEDAAP MIE KARI SP75 1 2300 2.300","line_item"
"line_item/crop_00052.jpg","SEDAAP MIE BASO SP77 1 2300 2.300","line_item"
"line_item/crop_00054.jpg","SEDAAP MI AY BW TL73 1 2300 2.300","line_item"
"line_item/crop_00055.jpg","RINSO DET.MTS FRNT3 1 93000 93.000","line_item"
"line_item/crop_00053.jpg","INDOMIE GRG S.MTH 85 1 2300 2.300","line_item"
"line_item/crop_00050.jpg","INDOMIE GRG RICA 85G 1 2300 2.300","line_item"
"total_belanja/crop_02961.jpg","Total RM Incl. of GST 9.85","total_belanja"
"total_belanja/crop_01511.jpg","Total Belanja 18.500","total_belanja"
"line_item/crop_02960.jpg","R RING 500'5 2.65","line_item"
"nama_toko/crop_02962.jpg","POPULAR BOOK CO.(M) SDN BHD","nama_toko"
"line_item/crop_02964.jpg","PB SHT/P 11H A4 10'S C/O. 2pc * 3.50 7.00","line_item"
"tanggal_waktu/crop_02963.jpg","28/03/18 13:24","tanggal_waktu"
"line_item/crop_02965.jpg","R RING 500'5 2.65","line_item"
"total_belanja/crop_01076.jpg","Total RP 250.000","total_belanja"
"tanggal_waktu/crop_01078.jpg","2025-10-04 14:15:06","tanggal_waktu"
"line_item/crop_01079.jpg","Kaos KAKI 13 2 X RP 13.000 RP 26.000","line_item"
"line_item/crop_01075.jpg","SNEAKERS SNKSJ185 RP 185.000 1X RP 185.000 RP 185.000","line_item"
"line_item/crop_01080.jpg","FREE GELANG 1 X RP 0 Rp 0","line_item"
"line_item/crop_01085.jpg","2 MINERAL 18.000","line_item"
"line_item/crop_01084.jpg","2 CHATTING 46.00O","line_item"
"nama_toko/crop_01082.jpg","CHAMING CAFE & DIMSUM SUMATERA","nama_toko"
"tanggal_waktu/crop_01083.jpg","09 Okt 25 20:11","tanggal_waktu"
"total_belanja/crop_01086.jpg","Total 64.000","total_belanja"
"total_belanja/crop_01081.jpg","Total Rp 26.000","total_belanja"
"line_item/crop_01092.jpg","1.500 TELUR 46.000","line_item"
"line_item/crop_01088.jpg","KEJU TOPCHIZ KEMASAN 250 GR 2 13.000 26.000","line_item"
"nama_toko/crop_01087.jpg","MBOK LA TBK","nama_toko"
"line_item/crop_01089.jpg","ALFA DARK COMPOUND HITAM 2 1 19.500 19.500","line_item"
"tanggal_waktu/crop_01091.jpg","22-02-2026 11:40:39","tanggal_waktu"
"total_belanja/crop_01090.jpg","Total Rp 45.500","total_belanja"
"line_item/crop_01103.jpg","31 ICETUBE 5.000","line_item"
"line_item/crop_01095.jpg","TELUR BEBEK 4 10.000","line_item"
"total_belanja/crop_01104.jpg","JUMLAH 155.000","total_belanja"
"total_belanja/crop_01099.jpg","TOTAL 544.000","total_belanja"
"total_belanja/crop_01096.jpg","98.500","total_belanja"
"nama_toko/crop_01097.jpg","PT.PANGAN LESTARI","nama_toko"
"total_belanja/crop_01112.jpg","628.500","total_belanja"
"nama_toko/crop_01108.jpg","SURYA SAMPURNA","nama_toko"
"total_belanja/crop_01107.jpg","50.000","total_belanja"
"nama_toko/crop_01105.jpg","PATTY CASH","nama_toko"
"line_item/crop_01106.jpg","GAS 3 KG 25.000 25.000","line_item"
"tanggal_waktu/crop_01109.jpg","07/08/2026","tanggal_waktu"
